;Poniedziaˆek;Wtorek;Sroda;Czwartek;Piatek;Sobota;Niedziela
00:00-00:29;400;400;400;400;400;300;200
00:30-00:59;400;400;400;400;400;300;200
01:00-01:29;300;300;300;300;300;250;200
01:30-01:59;300;300;300;300;300;250;200
02:00-02:29;200;200;200;200;200;150;150
02:30-02:59;200;200;200;200;200;150;150
03:00-03:29;200;200;200;200;200;150;150
03:30-03:59;200;200;200;200;200;150;150
04:00-04:29;200;200;200;200;200;150;150
04:30-04:59;200;200;200;200;200;150;150
05:00-05:29;600;600;600;600;600;300;300
05:30-05:59;700;700;800;800;800;300;300
06:00-06:29;9200;9200;10100;10100;10100;1400;1000
06:30-06:59;12500;12500;14200;14200;14200;1400;1000
07:00-07:29;17600;17600;19400;19400;19400;3300;1500
07:30-07:59;17600;17600;19400;19400;19400;3300;1500
08:00-08:29;19500;19500;22100;22100;22100;6900;2500
08:30-08:59;19500;19500;22100;22100;22100;6900;2500
09:00-09:29;19500;19500;22100;22100;22100;9900;4000
09:30-09:59;19500;19500;22100;22100;22100;9900;4000
10:00-10:29;13300;13300;16400;16400;16400;9900;4000
10:30-10:59;13300;13300;16400;16400;16400;9900;4000
11:00-11:29;11000;11000;13500;13500;13500;9900;4000
11:30-11:59;11000;11000;13500;13500;13500;9900;4000
12:00-12:29;11000;11000;13500;13500;13500;7100;3000
12:30-12:59;11000;11000;13500;13500;13500;7100;3000
13:00-13:29;11000;11000;13500;13500;13500;7100;3000
13:30-13:59;11000;11000;13500;13500;13500;7100;3000
14:00-14:29;11000;11000;13500;13500;13500;4700;2000
14:30-14:59;11000;11000;13500;13500;13500;4700;2000
15:00-15:29;12900;12900;14500;14500;14500;2800;1200
15:30-15:59;12900;12900;14500;14500;14500;2800;1200
16:00-16:29;13700;13700;16000;16000;16000;2700;1200
16:30-16:59;13700;13700;16000;16000;16000;2700;1200
17:00-17:29;12200;12200;14300;14300;14300;1500;1200
17:30-17:59;12200;12200;14300;14300;14300;1500;1200
18:00-18:29;9900;9900;11900;11900;11900;1500;1200
18:30-18:59;9900;9900;11900;11900;11900;1500;1200
19:00-19:29;5400;5400;6600;6600;6600;1200;1000
19:30-19:59;5400;5400;6600;6600;6600;1200;1000
20:00-20:29;2000;2000;2000;2000;2000;1000;600
20:30-20:59;2000;2000;2000;2000;2000;1000;600
21:00-21:29;1300;1300;1300;1300;1300;800;400
21:30-21:59;1300;1300;1300;1300;1300;800;400
22:00-22:29;900;900;900;900;900;800;400
22:30-22:59;900;900;900;900;900;800;400
23:00-23:29;600;600;600;600;600;500;300
23:30-23:59;600;600;600;600;600;500;300
